tx_id,timestamp,user_id,amount,category,device_id,auth_method,lat,lon,ip_address,is_fraud
f9744aec-2a6,2026-01-30 14:37:32.655848,user_427,222.96,entertainment,9cc4db65,Biometric,65.893603,-148.365495,113.66.251.143,0
cbabf0a8-f1c,2026-01-09 16:38:42.352240,user_262,136.53,food,d438044a,Password,31.419059,165.176342,23.232.214.17,0
e65c2a77-6bd,2026-02-05 21:50:31.404189,user_162,78.84,grocery,98385fe7,Biometric,54.196309,3.579783,53.76.204.35,0
226d78a1-36a,2026-01-12 05:47:29.136106,user_267,73.0,utilities,1cdf4a65,Biometric,-42.986678,107.731463,115.65.179.248,0
682a4572-c28,2026-01-03 03:49:24.733551,user_276,354.15,entertainment,9d545db5,PIN,81.356313,-151.038827,9.161.1.194,0
9fd694ff-cea,2026-01-20 20:14:38.639658,user_405,57.49,grocery,88975acb,Password,-88.962801,82.655762,65.107.105.60,0
c0ed952b-ac0,2026-01-12 09:03:49.535317,user_499,147.14,utilities,b84bca5c,Password,-2.592915,-137.04584,111.146.89.136,0
76646b41-289,2026-01-27 11:35:34.945493,user_208,411.67,tech,230cac25,Password,-62.864675,72.742439,100.62.143.106,0
6b03d5db-9a1,2026-01-10 17:36:55.301174,user_309,43.62,entertainment,9c4b44b1,Password,82.400043,27.190064,213.206.76.45,0
d3b0b767-579,2026-01-31 05:02:36.917729,user_78,241.98,utilities,8dd76afd,Biometric,-34.113106,177.150076,32.128.38.100,0
75c50d2c-54c,2026-02-08 03:14:50.091222,user_132,137.35,grocery,034678ff,Password,42.190213,-89.569554,163.250.117.134,0
53b1d214-30d,2026-01-14 11:41:52.604646,user_50,48.79,food,db07c225,Password,-51.576831,138.851283,44.73.234.171,0
856a2eb4-2a0,2026-01-14 08:58:26.588544,user_37,108.81,food,9a4b3745,PIN,-14.146007,-141.511539,80.220.16.252,0
2e1edf11-c7f,2026-02-08 13:25:42.559126,user_250,4656.32,tech,2099406c,Password,-53.997024,-141.125776,102.188.222.215,1
c29f4c3a-480,2026-02-04 12:16:49.279748,user_422,248.11,utilities,72f633b8,Password,-87.309181,104.884018,88.179.221.221,0
c700dcad-0f1,2026-01-03 05:17:00.094044,user_183,238.19,utilities,2b5c1994,Password,74.564136,115.654596,79.75.181.78,0
7f6e4996-ae6,2026-01-05 23:37:28.644111,user_259,211.5,entertainment,d8ac990d,PIN,-21.293149,138.033356,150.196.19.89,0
d035a420-668,2026-01-14 06:17:14.336454,user_155,456.11,entertainment,4fac10b6,PIN,-6.978564,-156.148597,202.149.207.131,0
70772ac5-7ba,2026-01-08 13:54:09.111216,user_282,56.82,food,b536a37c,PIN,47.21,125.642858,69.221.26.143,0
921bf7de-5c7,2026-02-09 10:54:34.838261,user_30,434.4,entertainment,c867dda5,Biometric,-75.084093,57.540814,67.247.170.40,0
ad52a42a-380,2026-02-08 14:54:53.949107,user_425,61.65,utilities,ff0a8be9,Password,-15.508995,-153.178483,21.93.162.206,0
a17cd95e-cbf,2026-02-03 13:27:25.831631,user_98,275.88,utilities,fb101811,PIN,52.46921,121.058337,99.136.234.68,0
d2cf3d25-933,2026-01-12 09:33:51.073709,user_92,85.34,food,57efb776,Password,74.891348,136.503285,148.199.224.121,0
f6fc026e-18d,2026-01-19 21:31:14.176434,user_342,31.53,food,3e82b9e1,Password,-46.083757,-171.196454,189.150.158.44,0
b4ad47ac-ad1,2026-02-06 09:17:15.734846,user_255,2846.82,tech,4f2d4a48,Biometric,87.555769,2.233376,39.158.248.181,0
193ff8d3-ed2,2026-01-30 23:38:02.819232,user_376,357.22,utilities,9d1c9cba,Password,-2.190825,12.766201,212.171.129.22,0
55e0f69c-512,2026-01-06 01:32:16.412318,user_420,86.89,grocery,0c270880,Password,-23.897653,-118.460391,24.56.216.154,0
9635474c-51d,2026-01-21 17:10:49.201135,user_126,417.98,entertainment,a6223247,Biometric,61.231063,21.861158,54.121.54.253,0
13f7d0d2-c56,2026-01-03 21:28:48.133636,user_479,340.03,utilities,4433f032,Password,-18.902932,112.203772,206.195.48.119,0
18523509-236,2026-01-08 20:42:09.111216,user_282,229.32,entertainment,b536a37c,Password,47.207212,125.612791,65.63.91.209,0
c6a74a09-97c,2026-01-24 09:28:56.074340,user_157,88.98,grocery,0bce77cf,Password,51.852569,124.94526,108.138.31.241,0
7533c734-1cf,2026-02-01 15:04:42.959145,user_266,25.9,grocery,6896e071,Password,58.609666,68.197043,196.80.178.233,0
ed09a5f0-d68,2026-01-12 06:48:29.136106,user_267,94.36,grocery,1cdf4a65,PIN,-42.995791,107.688276,134.187.144.237,0
2eaf80e9-802,2026-01-07 10:33:50.876695,user_451,4699.12,travel,9c1cab47,Password,40.7128,-74.006,41.111.122.28,1
5470a1cf-876,2026-02-07 23:41:50.263209,user_486,1809.67,tech,353a4afa,Password,78.419296,-104.40351,48.87.68.104,0
b452e152-feb,2026-02-05 18:33:43.278895,user_207,1579.24,tech,cabe8aef,Biometric,21.708502,-78.213412,74.220.76.5,0
b9e0cbea-179,2026-02-01 01:07:43.544200,user_90,86.71,food,97b2ec52,Biometric,54.252179,91.982721,152.10.54.175,0
bedb725b-45c,2026-01-05 04:19:48.955479,user_389,371.07,utilities,87534ea2,Password,69.97494,-73.643043,174.190.70.179,0
0bd2420d-d6b,2026-01-03 14:16:23.925440,user_181,190.49,grocery,9b051f6f,Password,-52.941094,28.221366,188.182.148.224,0
e8ca3a1f-7d5,2026-01-16 04:21:52.869389,user_381,270.99,utilities,6185df6e,Biometric,-2.63627,5.101841,31.199.149.87,0
ef412c7c-249,2026-01-31 21:17:02.819232,user_376,2168.78,tech,9d1c9cba,Password,-2.135839,12.717239,112.227.7.208,0
970fd6e5-231,2026-01-26 07:38:03.881718,user_212,23.15,grocery,7e0d1da8,PIN,75.366231,-25.242527,199.246.16.146,0
36d76187-9b4,2026-01-22 19:19:23.911906,user_63,7.07,grocery,275f30a7,Biometric,12.11412,-72.797134,18.138.213.118,0
91dfe627-726,2026-01-09 17:51:44.480050,user_65,411.46,entertainment,5587a4c4,PIN,-33.17229,-123.265008,205.222.230.142,0
6027a1ae-2a3,2026-01-19 15:21:55.879868,user_226,170.7,entertainment,33e8da7d,Password,16.964169,167.766771,42.215.29.106,0
600cb530-339,2026-02-04 11:21:07.654224,user_109,46.75,food,a5c415c1,PIN,-15.734858,-145.036763,174.174.73.174,0
3a694a65-94b,2026-01-01 22:46:51.398592,user_408,47.37,food,5b9570c2,Password,-3.790905,178.265935,218.30.20.124,0
368d552d-f82,2026-01-11 14:32:11.934868,user_303,408.95,entertainment,b6ca7eee,PIN,-43.472535,57.377256,77.53.48.180,0
840576cd-242,2026-01-29 17:58:37.649513,user_459,108.54,food,3991bad9,Password,48.900553,-116.868983,103.203.34.84,0
5c745157-531,2026-01-07 22:26:48.683058,user_89,41.92,entertainment,7772ba17,Biometric,-7.37819,100.192716,218.226.150.78,0
c827fb29-13b,2026-01-13 23:20:01.930279,user_1,137.43,grocery,84fa47b3,PIN,34.782076,49.949115,107.248.192.73,0
23e98972-30f,2026-01-18 07:39:53.353360,user_214,223.01,entertainment,510a98dc,Biometric,-51.92689,64.758239,35.131.150.120,0
483f24c5-91b,2026-01-26 09:45:13.959070,user_401,2465.24,tech,dcaf21d5,Password,-79.895116,-47.177823,198.185.13.94,0
95c2d33e-cc1,2026-01-04 23:03:42.575205,user_87,277.8,utilities,857ec154,Password,-48.052847,-15.144552,212.70.205.185,0
bc247216-670,2026-01-21 17:46:19.431895,user_144,123.91,grocery,63d37605,PIN,6.593164,80.98802,89.49.208.104,0
59da990f-591,2026-02-01 13:10:26.024148,user_33,209.03,utilities,603899e7,Biometric,1.919189,108.403202,73.71.17.126,0
