tx_id,timestamp,user_id,amount,category,device_id,auth_method,lat,lon,ip_address,is_fraud
39eb038a-436,2026-01-13 14:16:08,user_55,172.43,grocery,550a1b46,PIN,20.706097,-166.696891,172.126.60.200,0
aadf3692-b24,2026-01-07 18:26:45,user_407,8.43,food,695e5ea9,Biometric,-64.455363,-107.169827,86.0.173.144,0
f8802878-69f,2026-01-10 00:02:14,user_142,1259.07,tech,2b840c67,PIN,20.570832,123.877355,183.71.200.214,0
6319629b-d73,2026-01-05 21:36:29,user_492,26.14,grocery,e5eb772d,Biometric,1.776296,-88.694097,166.178.183.139,0
ddecc40b-afe,2026-01-03 04:00:41,user_261,364.83,utilities,90494583,Biometric,77.586793,144.875083,205.226.152.72,0
6511e61a-143,2026-01-28 08:06:46,user_412,57.81,food,56771f36,Password,42.841109,-35.818068,209.28.126.238,0
844e250b-e68,2026-01-10 17:50:35,user_63,996.93,tech,2095eef6,Biometric,46.119902,-13.974496,162.91.242.19,0
72f444ab-c1d,2026-01-10 17:28:02,user_215,287.06,utilities,218c6e1c,Password,87.692188,0.789602,106.172.180.251,0
31567f2a-cef,2026-02-03 01:12:01,user_155,67.33,food,bfbf397b,Password,16.694806,119.201433,91.24.147.11,0
6f75ee8a-aee,2026-01-28 19:43:07,user_109,327.81,utilities,4dc82a1e,Password,-49.312611,-99.898614,102.151.109.101,0
51db1a37-420,2026-01-05 01:23:39,user_171,102.56,food,7d824264,PIN,38.540462,35.571243,210.36.246.64,0
65b90e94-8e6,2026-01-26 08:48:30,user_312,195.05,utilities,929c93b3,Password,-73.402315,114.016388,6.53.168.198,0
df9b7c1f-eac,2026-02-03 13:50:47,user_335,179.07,grocery,b96c1163,Biometric,-70.49022,-78.950191,90.218.160.24,0
25f06b0a-264,2026-01-10 03:26:28,user_237,822.68,tech,7092947d,Biometric,8.752728,54.582949,1.51.77.240,0
c7903dc5-900,2026-01-16 07:08:45,user_286,475.52,entertainment,3f1be0d0,Password,5.134689,165.413145,82.79.88.101,0
5807cf74-e15,2026-01-18 23:09:25,user_464,364.02,utilities,2c3d17e2,Biometric,-76.412039,-89.786306,216.115.206.169,0
