tx_id,timestamp,user_id,amount,category,device_id,auth_method,lat,lon,ip_address,is_fraud
05286829-ee4,2026-01-23 05:01:43,user_391,131.16,utilities,402ebc51,PIN,-50.343747,21.242875,41.209.131.212,0
00ee461f-864,2026-01-21 21:28:39,user_68,1823.67,tech,d780bba6,PIN,-53.309419,-151.643295,178.205.7.51,0
c2251c8a-088,2026-01-23 04:59:49,user_67,33.51,food,16d06ffd,Biometric,13.929684,-48.660279,209.150.213.78,0
2c6e9a4c-dcd,2026-01-14 17:52:38,user_464,38.99,grocery,433d7498,Password,57.367215,-143.279124,16.241.187.13,0
1a6621e3-517,2026-01-07 09:07:01,user_342,161.29,grocery,092fa068,PIN,-4.772693,-11.524235,152.249.68.96,0
1a6497b0-c12,2026-01-16 18:50:00,user_327,442.6,entertainment,8dcf2c7d,PIN,22.323901,-172.260713,63.137.52.218,0
841418cd-069,2026-01-01 10:08:08,user_229,1662.68,tech,787f522b,Biometric,-8.622173,169.723132,90.129.253.202,0
3148f36f-e9e,2026-01-07 21:55:01,user_23,309.54,utilities,5714c9cc,PIN,-0.679951,142.217245,222.24.228.2,0
fd8f3405-f3c,2026-01-13 03:28:02,user_315,190.35,grocery,308dfc2f,Password,-18.799461,-69.013047,215.254.252.14,0
b60210fa-4eb,2026-01-11 22:06:27,user_427,73.15,grocery,51718139,Password,89.845337,164.273097,132.252.168.156,0
55b20cb0-c56,2026-01-01 07:49:45,user_124,21.46,grocery,f7d433e6,Password,71.029723,172.950942,85.205.253.135,0
0a518c63-cba,2026-01-17 08:26:26,user_87,182.04,entertainment,aca10acd,PIN,80.657704,4.638667,192.225.166.79,0
bf3a07bb-c36,2026-01-21 11:43:30,user_64,189.74,grocery,70429a68,Password,48.017622,-107.681432,181.27.80.242,0
a4cde32b-6cb,2026-01-20 09:37:42,user_324,6397.58,tech,678cbe0d,Password,-24.139857,165.916061,217.146.222.90,1
c1ae1d8e-c25,2026-01-06 12:41:37,user_27,79.44,food,4cbab2ad,Password,3.940247,-67.745156,164.13.171.25,0
fd1cc5c1-a5f,2026-01-22 21:24:36,user_452,60.36,food,4c9683c8,PIN,58.111682,-174.240251,164.62.170.112,0
bad68837-ba8,2026-01-18 14:29:53,user_328,381.9,utilities,f3c42838,Password,-40.388901,-30.229882,78.196.184.127,0
0916839d-ddf,2026-01-13 12:44:29,user_335,154.96,grocery,3873fb14,PIN,-2.890561,-67.450125,124.146.117.244,0
67ad5a9a-fc6,2026-01-02 08:02:35,user_99,1736.6,tech,4396834f,Password,30.225714,-54.006392,212.98.218.109,0
b34db271-9a4,2026-01-02 21:22:19,user_7,113.66,food,e3973bac,Biometric,-0.319947,-123.428715,122.230.147.218,0
c4307308-de0,2026-01-06 15:15:12,user_125,130.78,food,d4bba921,PIN,27.65465,-19.867417,75.229.80.254,0
01b6a30d-49b,2026-01-07 00:53:37,user_80,190.83,grocery,6093e820,Biometric,14.53242,4.982038,196.249.159.184,0
b07e2cd2-705,2026-01-05 15:53:35,user_116,106.3,grocery,af2e3f15,Password,-62.162833,-74.668417,60.106.10.46,0
2f15b9b6-c99,2026-01-02 09:18:06,user_277,199.26,grocery,8cd7ac25,Biometric,80.702709,-45.60377,188.97.146.183,0
77f0189a-219,2026-01-11 22:32:24,user_36,377.87,tech,690e0ee0,Password,-67.018626,84.337777,166.207.144.79,0
fbd25633-607,2026-01-14 09:30:25,user_429,75.78,utilities,989bb2f6,Password,-89.089958,1.651992,214.218.41.249,0
07e41792-f75,2026-01-06 09:08:23,user_101,6.54,food,55fb1e69,Password,-84.357179,112.02895,154.146.81.244,0
1c46fb30-2c0,2026-01-11 15:15:05,user_109,261.33,utilities,876bc09b,PIN,72.588331,107.940991,4.40.92.36,0
1125b404-729,2026-01-18 13:04:53,user_461,4205.98,travel,9dc6518c,Password,40.7128,-74.006,165.45.12.179,1
94aaec0b-cd8,2026-01-02 11:01:12,user_219,328.14,utilities,c9e94a1b,PIN,-7.840591,-109.896753,118.56.211.232,0
909c84c1-68b,2026-01-23 11:44:41,user_112,258.37,utilities,2b3606bd,Password,-6.439385,161.381768,31.115.154.96,0
96275471-eee,2026-01-23 06:01:13,user_104,444.82,entertainment,b48c7ac8,Password,76.651522,-177.948871,56.10.220.104,0
6ebfe27c-7f0,2026-01-02 14:56:50,user_264,1272.69,tech,69215961,Password,-0.615674,137.695243,132.2.128.74,0
03ed6f15-706,2026-01-19 10:24:13,user_187,439.83,entertainment,18f9cf6e,PIN,76.062552,7.431475,106.46.255.161,0
00226cb0-8a6,2026-01-11 02:24:54,user_491,379.83,entertainment,cfec6322,PIN,-51.407572,78.191382,221.142.231.37,0
805434d8-a75,2026-01-07 12:55:01,user_342,116.61,grocery,092fa068,Password,-4.71715,-11.452995,51.180.231.81,0
c639de48-e05,2026-01-05 02:21:09,user_365,132.3,food,fdc546c8,PIN,-35.346621,2.557961,50.144.179.221,0
3830364f-0c2,2026-01-20 02:51:51,user_276,9.89,food,e74abb24,Password,-56.79082,31.70539,209.200.64.99,0
52ac43da-c5e,2026-01-22 05:26:51,user_144,2333.47,tech,7584be06,Biometric,52.33151,-172.298031,193.245.109.11,0
16f64db0-c84,2026-01-08 01:45:53,user_147,16.83,grocery,7dcd9b95,PIN,50.433656,-25.17199,144.2.199.200,0
6efb36f9-063,2026-01-18 13:29:48,user_48,134.92,food,1ec1a63a,Biometric,60.106368,-53.301516,61.72.54.113,0
5f694290-1aa,2026-01-08 16:31:00,user_292,125.39,food,416044c1,Password,7.095052,30.13035,97.199.204.126,0
4872ca85-cd1,2026-01-05 09:41:06,user_383,182.63,grocery,2419216e,Password,-4.191184,-54.240387,51.148.62.107,0
bb59c867-7b3,2026-01-09 17:53:35,user_106,84.99,grocery,cf021954,PIN,88.805954,-78.122313,205.7.197.31,0
e19615f4-14c,2026-01-16 10:29:16,user_197,736.23,tech,d494f4ef,PIN,80.9423,-177.521551,73.47.51.183,0
e27f5b2c-2a6,2026-01-14 07:30:02,user_423,111.47,food,00a2c33d,PIN,-35.736812,10.399695,99.212.124.185,0
e9f31e79-f88,2026-01-23 16:40:13,user_104,29.61,food,b48c7ac8,Password,76.666,-177.886359,117.210.210.198,0
208f656d-27f,2026-01-07 02:24:07,user_382,120.05,entertainment,fe5a0070,Biometric,33.74677,-142.764101,177.50.91.17,0
e0842583-2bc,2026-01-11 18:26:26,user_281,294.98,utilities,8f90369e,Biometric,9.944859,-59.47379,166.32.58.224,0
39155b2f-c6f,2026-01-11 21:59:05,user_109,347.94,utilities,876bc09b,Biometric,72.557463,107.948438,101.152.15.185,0
4256fe93-293,2026-01-07 01:35:12,user_125,257.04,utilities,d4bba921,Biometric,27.671253,-19.900472,45.92.85.84,0
788fdb54-1a6,2026-01-21 19:33:20,user_100,1889.19,tech,27fe279c,PIN,32.707435,-54.533639,134.158.167.87,0
e210d9b0-2bf,2026-01-20 08:55:11,user_216,34.97,grocery,4beeed83,Password,27.100747,-103.787238,83.165.190.54,0
95738f47-169,2026-01-01 16:11:13,user_215,189.53,grocery,87f1152f,PIN,-14.621649,-142.154576,147.158.231.18,0
c0ddaf08-a76,2026-01-14 03:52:07,user_54,157.65,utilities,2e68dcfe,Password,-52.656677,10.999391,117.21.210.39,0
43e6f010-edb,2026-01-03 09:31:29,user_210,388.67,tech,cbd84be5,Password,-24.988793,156.661706,183.221.222.214,0
678cd6fe-48f,2026-01-07 11:06:37,user_27,138.44,utilities,4cbab2ad,Biometric,3.876115,-67.837044,174.184.13.208,0
3b7d1e67-0f2,2026-01-21 11:04:23,user_415,228.28,utilities,4e4d289d,PIN,63.1661,10.043436,112.105.18.94,0
a82ebd49-1de,2026-01-18 19:52:57,user_221,1685.04,tech,570d38f9,PIN,34.908612,-86.15022,9.89.199.71,0
