amount,lat,lon,is_fraud,hour,day_of_week,tx_count_24h,avg_spend_user,amount_ratio,dist_from_last_tx_km,travel_velocity_kmph,auth_method_PIN,auth_method_Password,category_food,category_grocery,category_tech,category_travel,category_utilities
167.52,-80.018972,-128.503529,0,18,5,1.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False
75.89,-79.978198,-128.498238,0,9,6,2.0,167.52,0.45302053486150906,4.535013143211314,0.0,True,False,False,False,False,False,False
69.39,-79.942544,-128.543715,0,8,0,2.0,121.70500000000001,0.5701491310956821,4.061371323683261,0.0,False,False,False,False,False,False,False
614.22,-79.940534,-128.549401,0,6,1,2.0,104.26666666666667,5.890856777493607,0.2492925026045415,0.0,False,False,False,False,True,False,False
45.89,-79.960488,-128.532205,0,5,2,2.0,231.755,0.19801083040279607,2.2437311965366487,0.0,True,False,True,False,False,False,False
1434.07,-79.978123,-128.532994,0,22,2,2.0,194.582,7.370003391886197,1.9609820704255352,0.0,False,True,False,False,True,False,False
99.91,-79.96711,-128.589272,0,6,3,2.0,401.16333333333336,0.24905067761260996,1.6391644614884284,0.0,False,False,True,False,False,False,False
22.03,-79.981429,-128.574689,0,9,3,3.0,358.1271428571428,0.06151446613134203,1.6170321752578058,0.0,False,False,True,False,False,False,False
8.27,-79.986835,-128.531284,0,22,3,4.0,316.11499999999995,0.026161365325909878,1.0324542763799136,0.0,False,False,False,True,False,False,False
43.97,-80.022393,-128.560452,0,14,4,2.0,281.90999999999997,0.15597176403816823,3.9937431169009194,0.0,False,False,False,False,False,False,False
52.26,-80.009088,-128.500778,0,6,5,2.0,258.116,0.2024671078119915,1.874106297892207,0.0,False,False,True,False,False,False,False
59.12,-80.014416,-128.55745,0,17,5,2.0,239.40181818181816,0.24694883459531713,1.2432341834396408,0.0,False,False,False,True,False,False,False
476.34,-79.959445,-128.545238,0,5,6,3.0,224.37833333333333,2.1229322498458703,6.117054510228405,0.0,False,True,False,False,False,False,False
280.03,-79.96765,-128.530965,0,12,6,3.0,243.75999999999996,1.148793895635051,0.953358193208911,0.0,True,False,False,False,False,False,False
75.79,-79.965967,-128.508668,0,8,0,2.0,246.35071428571428,0.3076508230136478,0.47074004582033613,0.0,False,True,False,True,False,False,False
128.34,-79.953205,-128.518877,0,8,0,3.0,234.98,0.5461741424802111,1.4328041831939793,0.0,False,False,False,True,False,False,False
192.2,-79.965323,-128.521722,0,10,0,4.0,228.315,0.8418194161575017,1.3485884665707513,0.0,False,False,False,True,False,False,False
72.22,-79.987627,-128.597482,0,22,0,4.0,226.19058823529411,0.31928826289126294,2.8810958165123255,0.0,False,False,False,True,False,False,False
115.43,-80.003966,-128.560029,0,5,1,5.0,217.63666666666666,0.5303793784748282,1.9555628187360967,0.0,False,False,True,False,False,False,False
282.03,-79.983743,-128.580246,0,9,1,4.0,212.25736842105263,1.3287171234524124,2.282367206321416,0.0,True,False,False,False,False,False,False
99.14,-79.967902,-128.552663,0,22,1,3.0,215.746,0.45952184513270233,1.8405658792941348,0.0,True,False,True,False,False,False,False
137.43,34.782076,49.949115,0,23,2,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False
383.06,34.797964,49.95071,0,12,3,2.0,137.43,2.787309903223459,1.7726590433805698,0.0,True,False,False,False,False,False,False
1731.28,34.762682,50.004854,0,1,4,2.0,260.245,6.652500528348287,6.312191704513645,0.0,False,True,False,False,True,False,False
376.41,34.732762,49.964614,0,7,4,3.0,750.59,0.5014854980748478,4.958387890702337,0.0,False,True,False,False,False,False,True
126.94,34.756479,50.001008,0,20,4,3.0,657.045,0.19319833496944655,4.244097907555843,0.0,False,False,False,True,False,False,False
482.37,34.758038,49.953586,0,21,4,4.0,551.024,0.8754065158686373,4.335700907882399,0.0,True,False,False,False,False,False,False
251.46,34.798118,49.956898,0,4,5,4.0,539.5816666666666,0.4660276942940365,4.4669464306108075,0.0,True,False,False,False,False,False,False
2913.46,34.755871,49.940712,0,3,6,2.0,498.4214285714285,5.845374682927529,4.924769787334309,0.0,False,True,False,False,True,False,False
54.58,34.813843,49.985375,0,0,0,2.0,800.30125,0.06819931869405427,7.628248539232772,0.0,False,True,False,True,False,False,False
257.2,34.802379,49.952951,0,12,0,2.0,717.4433333333333,0.35849521216542074,3.2230637683063392,0.0,True,False,False,False,False,False,True
39.9,34.822811,49.935054,0,5,1,2.0,671.419,0.059426379056892936,2.7984389671642877,0.0,True,False,True,False,False,False,False
401.39,34.734102,49.991482,0,11,1,3.0,614.0081818181818,0.6537209305768801,11.1291705492395,0.0,False,True,False,False,False,False,False
151.2,34.793426,50.01391,0,19,1,3.0,596.29,0.25356789481628067,6.907354299860738,0.0,False,False,False,False,False,False,True
44.74,34.723879,49.91771,0,22,1,4.0,562.0523076923076,0.07960113211472243,11.706233226771305,0.0,False,False,True,False,False,False,False
85.47,34.791895,49.934244,0,0,2,5.0,525.1014285714285,0.16276855355836017,7.712389196113035,0.0,True,False,True,False,False,False,False
1755.98,34.81756,50.008829,0,17,2,4.0,495.7926666666666,3.541762752978732,7.383596311861915,0.0,False,False,False,False,True,False,False
442.27,34.788973,49.988351,0,22,2,3.0,574.5543749999999,0.7697617827729535,3.687843011695089,0.0,False,True,False,False,False,False,False
244.33,34.812538,49.997641,0,3,3,3.0,566.7729411764706,0.43108974026324476,2.7541836447917833,0.0,True,False,False,False,False,False,False
382.99,34.748073,49.92508,0,2,4,2.0,548.8594444444444,0.6977924929171302,9.762138002653497,0.0,False,False,False,False,False,False,False
110.41,52.972045,9.626448,0,22,0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,False
85.09,53.014715,9.714089,0,4,1,2.0,110.41,0.7706729462910968,7.544455424119659,0.0,False,True,True,False,False,False,False
123.66,52.967852,9.631855,0,11,1,3.0,97.75,1.2650639386189257,7.579510415132832,0.0,False,False,False,False,False,False,True
149.49,52.922778,9.660765,0,1,2,3.0,106.38666666666666,1.405157287880687,5.373303384600064,0.0,False,True,False,True,False,False,False
16.64,52.97228,9.649805,0,6,2,3.0,117.1625,0.1420249653259362,5.5531369350961,0.0,True,False,True,False,False,False,False
544.62,52.98026,9.721338,0,18,2,3.0,97.058,5.611283974530693,4.871034155426612,0.0,False,False,False,False,True,False,False
2179.06,52.95765,9.665462,0,9,3,2.0,171.65166666666667,12.694662640424891,4.508010975488455,0.0,False,True,False,False,True,False,False
2293.27,53.000505,9.693307,0,23,3,2.0,458.42428571428576,5.002505476835245,5.116946302057923,0.0,False,True,False,False,True,False,False
140.18,52.998078,9.661497,0,20,4,2.0,687.78,0.20381517345662858,2.145759515299085,0.0,True,False,False,False,False,False,True
1239.63,52.917248,9.630533,0,23,4,3.0,626.9355555555555,1.9772845693868946,9.22409873043754,0.0,True,False,False,False,True,False,False
65.83,52.980086,9.701486,0,12,5,3.0,688.205,0.0956546377896121,8.451026120971063,0.0,False,True,False,False,False,False,False
42.96,52.942962,9.683813,0,9,6,2.0,631.6254545454545,0.0680149916233441,4.294363161135108,0.0,False,True,True,False,False,False,False
69.15,52.949593,9.652274,0,11,6,3.0,582.57,0.11869818219269787,2.2381187753851806,0.0,True,False,True,False,False,False,False
15.31,52.947056,9.65214,0,14,6,3.0,543.0761538461538,0.028191258061272043,0.28224435212598337,0.0,True,False,False,False,False,False,False
122.68,52.948684,9.667852,0,7,0,4.0,505.37857142857143,0.24274871736887482,1.0681483533746037,0.0,True,False,True,False,False,False,False
251.48,52.986581,9.664636,0,15,0,2.0,479.8653333333333,0.5240636956479456,4.219454298775031,0.0,True,False,False,False,False,False,True
329.49,52.998638,9.635341,0,2,1,3.0,465.59125,0.707680825187329,2.37525633426235,0.0,False,True,False,False,False,False,False
20.59,53.005368,9.706906,0,21,1,2.0,457.58529411764704,0.04499707544077286,4.846938379324218,0.0,True,False,False,True,False,False,False
22.63,-62.45951,55.871415,0,9,5,1.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False
120.77,-62.498277,55.937245,0,4,6,2.0,22.63,5.336721166593018,5.479281653003272,0.0,False,True,True,False,False,False,False
188.1,-62.441243,55.950043,0,17,6,2.0,71.7,2.6234309623430963,6.375911336402333,0.0,False,True,False,True,False,False,False
147.39,-62.4296,55.957933,0,20,6,3.0,110.5,1.3338461538461537,1.3568052634384689,0.0,True,False,False,True,False,False,False
1579.64,-62.432279,55.939513,0,14,0,3.0,119.7225,13.194178203762869,0.9936516856223442,0.0,False,True,False,False,True,False,False
245.46,-62.505701,55.885215,0,20,0,2.0,411.706,0.5962021442485658,8.627969052309732,0.0,False,False,False,False,False,False,True
89.61,-62.475322,55.86982,0,10,1,3.0,383.9983333333333,0.23336038784890561,3.4692964275288594,0.0,False,True,True,False,False,False,False
369.66,-62.412342,55.924963,0,7,2,2.0,341.9428571428571,1.0810578208556152,7.55573157564631,0.0,False,True,False,False,False,False,True
97.79,-62.428338,55.877926,0,8,2,3.0,345.4075,0.28311487156474596,3.0045701472131956,0.0,False,True,False,True,False,False,False
1724.26,-62.429414,55.911476,0,16,2,3.0,317.89444444444445,5.424001677705737,1.7308412793955945,0.0,False,False,False,False,True,False,False
100.32,-62.488146,55.894651,0,23,2,4.0,458.53099999999995,0.21878564371874532,6.587744149681825,0.0,False,True,False,True,False,False,False
411.6,-62.497978,55.937453,0,6,3,5.0,425.96636363636367,0.9662734786997693,2.455007480546428,0.0,False,True,False,False,False,False,False
