tx_id,timestamp,user_id,amount,category,device_id,auth_method,lat,lon,ip_address,is_fraud
e4fd6c34-d67,2026-01-18 06:53:16.569162,user_55,172.43,grocery,475287aa,PIN,-83.615968,174.348649,120.185.31.102,0
0cb5ee5c-62f,2026-01-17 09:52:36.654372,user_407,8.43,food,379d58f9,Biometric,20.500359,150.789724,107.109.217.82,0
39a0f145-a5b,2026-02-11 06:43:37.486858,user_142,1259.07,tech,bea29dfe,PIN,-87.864685,123.877867,145.56.170.82,0
052226b9-836,2026-01-15 12:45:16.326726,user_492,26.14,grocery,052dfb9a,Biometric,-0.992383,-52.469217,208.72.228.108,0
a5ba2472-21d,2026-01-25 01:15:38.754994,user_261,364.83,utilities,0d18ab95,Biometric,8.142126,36.488989,104.34.170.221,0
ce1a1669-9bb,2026-02-03 00:49:08.011396,user_412,57.81,food,fcc4091b,Password,56.703459,-87.232329,206.51.249.172,0
da018d29-606,2026-02-08 04:11:43.955606,user_63,996.93,tech,cb323e35,Biometric,85.736443,-7.014195,48.32.191.54,0
ad5cba24-4d5,2026-02-04 02:15:29.904237,user_215,287.06,utilities,195d82f8,Password,10.646765,-59.461062,14.90.188.159,0
82f29004-01e,2026-01-16 14:26:12.331138,user_155,67.33,food,dafec8a9,Password,75.278354,39.102045,198.49.127.54,0
9beab529-980,2026-01-29 10:08:03.738357,user_109,327.81,utilities,43b9da13,Password,31.836586,-141.784113,126.55.89.122,0
fd053963-561,2026-01-31 08:04:22.999239,user_171,102.56,food,f0ede303,PIN,-57.224055,40.505828,125.76.240.187,0
a7f77451-42d,2026-02-06 06:47:01.492880,user_312,195.05,utilities,705fddf5,Password,-76.913914,-48.609916,147.31.100.196,0
c3f62136-846,2026-01-24 00:44:26.800824,user_335,179.07,grocery,9ea9f508,Biometric,-64.174053,101.55768,112.232.140.142,0
cf5e0f0b-cd6,2026-01-13 00:50:37.332903,user_237,822.68,tech,b43bd27f,Biometric,60.736204,-116.781081,148.116.23.188,0
06843c86-b8a,2026-02-08 02:16:45.920154,user_286,475.52,entertainment,fd359f6a,Password,-9.86945,124.961407,146.235.47.183,0
6793cb09-6b2,2026-01-15 03:57:42.563727,user_464,364.02,utilities,fb7d3ba1,Biometric,74.111385,-61.382588,34.66.170.164,0
92715f6e-fea,2026-01-18 07:43:42.630442,user_141,269.36,utilities,a881bfd3,Biometric,-10.619612,-21.520621,165.125.156.187,0
afb28b3d-38e,2026-01-06 07:02:21.581022,user_163,31.98,grocery,f6ca6b8b,Biometric,86.892342,99.972632,15.156.156.131,0
5bc677ca-abf,2026-01-23 20:09:06.681424,user_208,1451.18,tech,f836f571,PIN,20.322308,15.570705,10.184.67.239,0
8ee9581a-e06,2026-01-08 04:27:47.173809,user_484,172.06,grocery,a091e5b4,Biometric,-69.012522,53.735145,96.199.228.29,0
423701f1-bda,2026-01-20 10:17:07.639615,user_436,2267.8,tech,95af6d0c,Biometric,-69.979304,-71.175904,181.219.178.40,0
55ec024a-e64,2026-01-23 04:56:54.291126,user_172,303.46,utilities,93f277cc,PIN,-12.741997,142.346126,142.57.102.201,0
df162ec3-be8,2026-01-13 19:54:55.428118,user_303,21.37,grocery,081fc6dc,PIN,-73.788567,-142.977457,53.52.76.202,0
4b46ef33-95e,2026-01-18 17:27:02.163391,user_167,164.4,utilities,66132e69,Biometric,-28.639022,42.197662,19.196.221.166,0
a267d32f-ddc,2026-02-07 11:58:16.105749,user_41,151.06,grocery,119c4ea3,Biometric,-18.838383,-108.931061,132.142.204.115,0
801f4909-31c,2026-01-23 06:14:31.363926,user_20,33.91,food,ec24a3c5,Password,10.336973,-93.3064,88.109.68.187,0
0dd70158-69c,2026-01-13 16:04:24.576212,user_288,294.81,utilities,ca6fbff8,PIN,-20.930397,-79.988762,212.211.45.85,0
57b936b0-334,2026-01-09 17:02:09.095809,user_398,62.97,entertainment,6d84414d,Biometric,28.464375,65.132113,61.72.217.179,0
b7360c4f-dcc,2026-02-11 10:42:35.647646,user_482,120.46,grocery,ad72ed05,PIN,-9.817308,-137.584082,105.75.0.246,0
fc9476b1-a18,2026-01-31 07:01:46.086466,user_307,2369.64,tech,ac6a7c85,Password,-89.074808,-167.807011,104.237.159.169,0
359a1533-460,2026-02-04 18:16:10.590088,user_174,337.82,utilities,9f294a8b,Biometric,25.235063,121.179724,181.101.55.230,0
7d54ec82-288,2026-02-08 18:28:24.118364,user_362,111.65,utilities,ec6a37ad,Password,-48.645484,47.19591,161.104.158.11,0
