tx_id,timestamp,user_id,amount,category,device_id,auth_method,lat,lon,ip_address,is_fraud
f96b9641-ea0,2026-01-05 08:20:18,user_55,172.43,grocery,b2cf55e6,PIN,-36.312995,-124.545566,219.127.126.138,0
75eef99b-012,2026-01-06 10:21:38,user_407,8.43,food,eb2c654d,Biometric,-51.391882,-70.071609,134.99.84.198,0
81715195-cde,2026-01-14 12:35:35,user_142,1259.07,tech,e1836e75,PIN,-34.900068,85.464904,69.66.223.111,0
1e329d4a-612,2026-01-09 01:18:06,user_492,26.14,grocery,4ba943cd,Biometric,67.505244,157.720884,18.243.90.120,0
de62ea3e-2c3,2026-01-14 11:11:29,user_261,364.83,utilities,a4b358e3,Biometric,18.465853,39.279445,173.53.204.174,0
69e134a4-d72,2026-01-06 04:01:56,user_412,57.81,food,7361abcd,Password,21.301505,-80.650535,206.59.161.64,0
ce721793-34e,2026-01-03 19:43:10,user_63,996.93,tech,7a99cab2,Biometric,26.453273,-41.021434,169.212.218.56,0
ce68714c-02f,2026-01-13 02:31:57,user_215,287.06,utilities,e92d7a64,Password,22.570831,7.38145,14.251.32.211,0
f149f595-eff,2026-01-05 02:23:11,user_155,67.33,food,cceb0019,Password,0.254395,147.204698,112.203.96.242,0
9b54a24f-06d,2026-01-16 14:44:19,user_109,327.81,utilities,1e3cfb09,Password,-86.942106,41.557276,95.248.106.142,0
a33c1d5d-bbc,2026-01-14 00:30:03,user_171,102.56,food,4e821cfe,PIN,-74.624236,111.400406,69.214.70.138,0
df10b978-f02,2026-01-03 14:42:13,user_312,195.05,utilities,bbe3dcf4,Password,-15.316371,21.865337,216.237.49.68,0
f5fa8484-48c,2026-01-06 17:52:59,user_335,179.07,grocery,1f8893f6,Biometric,-24.581073,-151.798009,170.99.90.238,0
952b9209-b51,2026-01-18 10:18:52,user_237,822.68,tech,14e52ee4,Biometric,86.958947,-174.018789,48.86.59.58,0
8ca37ab1-66a,2026-01-04 00:02:22,user_286,475.52,entertainment,c41b163c,Password,-32.441028,-56.936061,183.209.136.46,0
e9cb4e25-193,2026-01-19 23:37:41,user_464,364.02,utilities,db9ee3ce,Biometric,61.663613,144.652473,31.171.220.156,0
7059fe1c-e6a,2026-01-19 10:51:38,user_141,269.36,utilities,332e2ad1,Biometric,-52.713269,-134.640636,146.232.68.235,0
554f3f72-af5,2026-01-07 19:10:11,user_163,31.98,grocery,a9a7ab8b,Biometric,-73.1608,135.977668,207.123.220.46,0
2efb04f0-40c,2026-01-08 23:25:51,user_208,1451.18,tech,3842b936,PIN,-63.138795,-88.550159,102.59.195.133,0
0b681316-26f,2026-01-03 04:44:15,user_484,172.06,grocery,2df8d6c0,Biometric,12.926869,39.773272,87.232.168.135,0
d907f82f-cf1,2026-01-04 11:46:02,user_436,2267.8,tech,7ade432d,Biometric,46.612737,-171.541575,73.154.59.127,0
fdf3fbbc-ed7,2026-01-10 08:20:16,user_172,303.46,utilities,f8a95759,PIN,65.73759,-168.671808,9.38.48.28,0
3431dddc-c5a,2026-01-19 03:49:53,user_303,21.37,grocery,29880157,PIN,38.741564,-167.445834,21.22.150.182,0
a838cbb4-11c,2026-01-05 11:26:25,user_167,164.4,utilities,9d0115a4,Biometric,-80.722224,111.688879,9.49.168.75,0
6a565eb6-1bf,2026-01-09 10:50:25,user_41,151.06,grocery,3e10e00b,Biometric,35.727672,-174.669643,172.108.47.176,0
588d878c-57b,2026-01-13 05:31:50,user_20,33.91,food,776ed726,Password,-14.368024,148.073183,44.178.30.147,0
cce08ce0-90a,2026-01-06 08:36:37,user_288,294.81,utilities,18c3e2cc,PIN,25.269881,15.923869,120.91.142.174,0
91cf0514-946,2026-01-12 23:45:35,user_398,62.97,entertainment,c359c484,Biometric,89.608089,-161.934955,139.136.179.201,0
b31d596b-599,2026-01-04 06:12:36,user_482,120.46,grocery,83203111,PIN,32.239269,63.726884,195.50.79.246,0
d8f593d7-998,2026-01-19 12:28:59,user_307,2369.64,tech,f8e455d8,Password,52.384301,113.953915,17.0.30.211,0
127fa34b-faf,2026-01-09 06:06:22,user_174,337.82,utilities,7278b766,Biometric,82.174272,165.450215,105.12.101.118,0
39292c48-cd9,2026-01-12 04:44:50,user_362,111.65,utilities,71b3b827,Password,-45.278766,-140.223421,59.173.73.67,0
