tx_id,timestamp,user_id,amount,category,device_id,auth_method,lat,lon,ip_address,is_fraud
1ee0176c-05a,2026-01-11 11:23:40,user_55,172.43,grocery,bd68bc04,PIN,71.626412,-164.2059,220.201.223.120,0
1e4e5150-2b4,2026-01-06 10:16:08,user_235,412.06,entertainment,37c2205d,PIN,7.24431,-79.785457,16.222.182.51,0
5a95e8b6-fd7,2026-01-08 16:53:34,user_98,146.52,entertainment,805729d0,Biometric,-78.53892,-77.72691,162.8.139.90,0
5f4a474e-d76,2026-01-02 02:07:38,user_260,1060.33,tech,6c26c55b,PIN,-0.172193,-26.404225,147.52.79.70,0
c5bb39ae-584,2026-01-01 14:55:33,user_133,2891.35,tech,a620a799,PIN,-84.340455,90.214415,60.46.182.144,0
691d8a8f-736,2026-01-11 10:10:25,user_222,223.83,entertainment,699c4077,PIN,16.243901,89.225232,40.83.0.122,0
fb0900f5-bf0,2026-01-02 18:00:51,user_295,31.75,entertainment,cfb07d60,PIN,-68.071403,-124.203508,96.1.218.226,0
bfdcfe75-fd2,2026-01-13 03:13:38,user_412,57.81,food,385a82df,Password,39.867335,-173.282051,31.22.230.54,0
68f02051-96e,2026-01-13 04:24:32,user_319,145.35,grocery,0163c53d,Password,-89.980926,-148.911372,165.11.195.165,0
d8cfb9e9-8a7,2026-01-08 23:50:50,user_209,294.02,utilities,d6ee1582,PIN,5.44028,-28.373363,162.197.95.240,0
f9faed70-b57,2026-01-13 02:21:41,user_481,94.25,food,cb4a8846,Biometric,-82.249831,44.65068,121.191.86.112,0
31d45967-e4e,2026-01-13 09:16:50,user_0,112.99,entertainment,32699fad,Password,34.121865,-50.303254,93.140.243.245,0
d9d8bd19-c9e,2026-01-05 03:09:32,user_238,286.47,utilities,8e69c443,Password,85.631115,-25.677813,24.219.237.208,0
d1433ac0-168,2026-01-08 21:30:26,user_43,2025.18,tech,2889deda,PIN,54.087669,-118.288887,192.251.122.239,0
e4d9142b-5d8,2026-01-09 11:35:48,user_384,120.07,entertainment,553e1285,PIN,88.784257,136.254679,146.57.66.201,0
6a3f8432-d67,2026-01-12 13:10:36,user_125,2564.24,tech,4c304f18,Biometric,23.833058,98.863711,117.180.169.80,0
e1640fad-23e,2026-01-02 07:20:19,user_322,109.16,food,f8af420f,Biometric,77.810462,-10.061056,85.201.134.249,0
bf4e7d39-93f,2026-01-09 16:35:11,user_75,179.07,grocery,58820799,Biometric,73.452078,142.913226,57.48.54.144,0
58d61649-60d,2026-01-10 05:08:59,user_411,1447.19,tech,502a3d24,PIN,-62.697658,33.644143,154.217.172.179,0
8c041ada-87b,2026-01-02 07:21:08,user_62,121.21,food,6b1cf81f,Password,18.137082,-166.176262,29.188.82.246,0
